Steering Angle [o];Absolute [];Time [s];
-61.5673828125;12365.0;171.3453631401062;
-61.50146484375;12362.0;171.35545301437378;
-61.5234375;12363.0;171.3655710220337;
-61.58935546875;12366.0;171.37552618980408;
-61.5234375;12363.0;171.38562202453613;
-61.58935546875;12366.0;171.39689016342163;
-61.58935546875;12366.0;171.40605211257935;
-61.5234375;12363.0;171.417072057724;
-61.5673828125;12365.0;171.42723107337952;
-61.54541015625;12364.0;171.43658018112183;
-61.5234375;12363.0;171.4473750591278;
-61.50146484375;12362.0;171.4574761390686;
-61.63330078125;12368.0;171.46781611442566;
-61.54541015625;12364.0;171.47731804847717;
-61.5673828125;12365.0;171.48734712600708;
-61.58935546875;12366.0;171.4974009990692;
-61.54541015625;12364.0;171.50761818885803;
-61.50146484375;12362.0;171.51747798919678;
-61.5673828125;12365.0;171.52748799324036;
-61.5673828125;12365.0;171.53749418258667;
-61.5234375;12363.0;171.54756021499634;
-61.5234375;12363.0;171.5575680732727;
-61.54541015625;12364.0;171.56762218475342;
-61.50146484375;12362.0;171.577730178833;
-61.54541015625;12364.0;171.58784008026123;
-61.58935546875;12366.0;171.5979471206665;
-61.5673828125;12365.0;171.6085560321808;
-61.50146484375;12362.0;171.618173122406;
-61.54541015625;12364.0;171.62828302383423;
-61.5673828125;12365.0;171.6383969783783;
-61.54541015625;12364.0;171.64850306510925;
-61.50146484375;12362.0;171.658616065979;
-61.45751953125;12360.0;171.66872906684875;
-61.50146484375;12362.0;171.67884302139282;
-61.50146484375;12362.0;171.6889510154724;
-61.54541015625;12364.0;171.69905710220337;
-61.54541015625;12364.0;171.70917010307312;
-61.5673828125;12365.0;171.71928119659424;
-61.4794921875;12361.0;171.72939801216125;
-61.54541015625;12364.0;171.73950910568237;
-61.54541015625;12364.0;171.74961113929749;
-61.5673828125;12365.0;171.75972414016724;
-61.54541015625;12364.0;171.76983499526978;
-61.50146484375;12362.0;171.77995419502258;
-61.50146484375;12362.0;171.79005312919617;
-61.50146484375;12362.0;171.80037117004395;
-61.5234375;12363.0;171.81027507781982;
-61.5234375;12363.0;171.82039618492126;
