Latitude;Longitude;Speed [km/h];Distance [m];Time [s]
-22.816142;-46.928148;0.037040;0.525646;7997.287599
-22.816142;-46.928148;0.018520;0.526407;7997.386181
-22.816142;-46.928148;0.018520;0.527004;7997.502183
-22.816142;-46.928148;0.018520;0.527600;7997.618073
-22.816142;-46.928148;0.018520;0.528234;7997.741309
-22.816142;-46.928148;0.018520;0.528880;7997.866887
-22.816142;-46.928148;0.018520;0.529500;7997.987330
-22.816142;-46.928148;0.018520;0.530116;7998.107070
-22.816142;-46.928148;0.018520;0.530583;7998.197992
-22.816142;-46.928148;0.018520;0.531274;7998.332239
-22.816142;-46.928148;0.018520;0.531764;7998.427450
-22.816142;-46.928148;0.000000;0.532059;7998.542357
-22.816142;-46.928148;0.000000;0.532059;7998.646144
-22.816142;-46.928148;0.018520;0.532408;7998.781647
-22.816142;-46.928148;0.018520;0.532801;7998.857973
-22.816142;-46.928148;0.018520;0.533377;7998.969960
-22.816142;-46.928148;0.018520;0.533900;7999.071691
-22.816142;-46.928148;0.018520;0.534545;7999.197040
-22.816142;-46.928148;0.018520;0.535086;7999.302157
-22.816142;-46.928148;0.018520;0.535662;7999.414195
-22.816142;-46.928148;0.018520;0.536129;7999.504944
-22.816142;-46.928148;0.018520;0.536644;7999.604961
-22.816142;-46.928148;0.018520;0.537225;7999.718081
-22.816142;-46.928148;0.018520;0.537702;7999.810720
-22.816142;-46.928148;0.018520;0.538291;7999.925154
-22.816142;-46.928148;0.018520;0.538934;8000.050189
-22.816142;-46.928148;0.018520;0.539468;8000.153909
-22.816142;-46.928148;0.018520;0.540044;8000.265931
-22.816142;-46.928148;0.018520;0.540586;8000.371325
-22.816142;-46.928148;0.018520;0.541218;8000.494246
-22.816142;-46.928148;0.000000;0.541417;8000.571654
-22.816142;-46.928148;0.000000;0.541417;8000.687954
-22.816142;-46.928148;0.018520;0.541718;8000.804681
-22.816142;-46.928148;0.018520;0.542280;8000.913957
-22.816142;-46.928148;0.018520;0.542813;8001.017494
-22.816142;-46.928148;0.018520;0.543497;8001.150622
-22.816142;-46.928148;0.018520;0.544046;8001.257268
-22.816142;-46.928148;0.018520;0.544578;8001.360578
-22.816142;-46.928148;0.018520;0.545119;8001.465852
-22.816142;-46.928148;0.018520;0.545655;8001.569942
-22.816142;-46.928148;0.018520;0.546241;8001.683842
-22.816142;-46.928148;0.018520;0.546701;8001.773417
-22.816142;-46.928148;0.018520;0.547362;8001.901841
-22.816142;-46.928148;0.018520;0.548025;8002.030645
-22.816142;-46.928148;0.018520;0.548452;8002.113737
-22.816142;-46.928148;0.018520;0.549121;8002.243798
