Motor Speed [RPM];Reported Torque [Nm];Phase Current [A RMS];Mechanical Power [kW];Speed (VCU) [km/h];Total Distance (VCU) [km];Time [s];
32.0;-99.5625;41.0;-0.333637139811236;2.7505272000709358;0.17980895480080117;286.5084002017975;
32.0;-99.5625;41.0;-0.333637139811236;2.7505272000709358;0.17981661044830663;286.5183939933777;
32.0;-99.0;41.0;-0.33175218421908215;2.7505272000709358;0.17982447922326783;286.5284140110016;
32.0;-99.0;41.0;-0.33175218421908215;2.7505272000709358;0.1798317912881386;286.53871297836304;
31.0;-98.625;41.0;-0.32016756130896984;2.664573225068719;0.17983920099088646;286.54843521118164;
31.0;-98.625;41.0;-0.32016756130896984;2.664573225068719;0.17984660698781238;286.55844616889954;
31.0;-98.0625;42.0;-0.3183415105790707;2.664573225068719;0.1798540366314117;286.56845211982727;
31.0;-98.0625;42.0;-0.3183415105790707;2.664573225068719;0.1798615742732506;286.5784900188446;
32.0;-98.0625;40.0;-0.3286105915654924;2.7505272000709358;0.1798692213592258;286.5885121822357;
32.0;-98.0625;40.0;-0.3286105915654924;2.7505272000709358;0.17987688083209585;286.5985209941864;
32.0;-97.5;38.0;-0.3267256359733385;2.7505272000709358;0.17988455797450711;286.60854601860046;
32.0;-97.5;38.0;-0.3267256359733385;2.7505272000709358;0.17989229067578505;286.6185941696167;
32.0;-97.3125;42.0;-0.32609731744262055;2.7505272000709358;0.1798997851114971;286.62871503829956;
32.0;-97.3125;42.0;-0.32609731744262055;2.7505272000709358;0.17990751344092978;286.63852405548096;
32.0;-97.3125;38.0;-0.32609731744262055;2.7505272000709358;0.179915243045484;286.6486392021179;
32.0;-97.3125;38.0;-0.32609731744262055;2.7505272000709358;0.17992298671053011;286.65875601768494;
34.0;-97.3125;41.0;-0.34647839978278433;2.9224351500753696;0.17993119554446432;286.66858410835266;
34.0;-97.3125;41.0;-0.34647839978278433;2.9224351500753696;0.17993928530254066;286.6786961555481;
35.0;-97.3125;37.0;-0.3566689409528662;3.008389125077586;0.17994773796361993;286.68851709365845;
35.0;-97.3125;37.0;-0.3566689409528662;3.008389125077586;0.1799558287036537;286.69863200187683;
34.0;-97.3125;40.0;-0.34647839978278433;2.9224351500753696;0.17996398721582754;286.7084541320801;
34.0;-97.3125;40.0;-0.34647839978278433;2.9224351500753696;0.1799720636648229;286.71850419044495;
34.0;-96.75;39.0;-0.34447563446612084;2.9224351500753696;0.17998018559694787;286.7284531593323;
34.0;-96.75;39.0;-0.34447563446612084;2.9224351500753696;0.17998831236770363;286.7384581565857;
34.0;-96.375;40.0;-0.34314045758834516;2.9224351500753696;0.17999641804202904;286.7484691143036;
34.0;-96.375;40.0;-0.34314045758834516;2.9224351500753696;0.18000466098546417;286.75845408439636;
35.0;-95.8125;39.0;-0.35117115380908404;3.008389125077586;0.18001303195907042;286.7684609889984;
35.0;-95.8125;39.0;-0.35117115380908404;3.008389125077586;0.18002138599746884;286.77847814559937;
35.0;-95.25;38.0;-0.34910948363016575;3.008389125077586;0.18002973943815406;286.7884750366211;
35.0;-95.25;38.0;-0.34910948363016575;3.008389125077586;0.18003808670246937;286.7984712123871;
35.0;-94.875;38.0;-0.34773503684422025;3.008389125077586;0.18004644592104901;286.8084599971771;
35.0;-94.875;38.0;-0.34773503684422025;3.008389125077586;0.18005479995944743;286.8184630870819;
35.0;-94.3125;40.0;-0.3456733666653019;3.008389125077586;0.18006317591399715;286.82845997810364;
35.0;-94.3125;40.0;-0.3456733666653019;3.008389125077586;0.18007176351595083;286.83848309516907;
37.0;-94.1875;38.0;-0.36494180160731937;3.1802970750820196;0.18008060735471443;286.8484740257263;
37.0;-94.1875;38.0;-0.36494180160731937;3.1802970750820196;0.1800894442429272;286.8584849834442;
37.0;-93.625;39.0;-0.36276232170389144;3.1802970750820196;0.18009830135092425;286.868488073349;
37.0;-93.625;39.0;-0.36276232170389144;3.1802970750820196;0.18010711780873;286.8785140514374;
37.0;-93.4375;38.0;-0.3620358284027488;3.1802970750820196;0.18011597849731384;286.88849401474;
37.0;-93.4375;38.0;-0.3620358284027488;3.1802970750820196;0.1801247229790632;286.8985240459442;
36.0;-92.875;39.0;-0.35013050124258244;3.0943431000798025;0.18013333906632106;286.9085581302643;
36.0;-92.875;39.0;-0.35013050124258244;3.0943431000798025;0.18014206256264403;286.918582201004;
37.0;-92.875;39.0;-0.35985634849932085;3.1802970750820196;0.18015084637392312;286.9285922050476;
37.0;-92.875;39.0;-0.35985634849932085;3.1802970750820196;0.18015966283172888;286.93853521347046;
37.0;-92.875;39.0;-0.35985634849932085;3.1802970750820196;0.18016849613935487;286.94851517677307;
37.0;-92.875;39.0;-0.35985634849932085;3.1802970750820196;0.1801773328169449;286.958514213562;
37.0;-92.875;39.0;-0.35985634849932085;3.1802970750820196;0.18018616970515766;286.9685170650482;
37.0;-92.875;39.0;-0.35985634849932085;3.1802970750820196;0.18019490629140011;286.978520154953;
36.0;-92.875;38.0;-0.35013050124258244;3.0943431000798025;0.18020349819688894;286.98854517936707;
36.0;-92.875;38.0;-0.35013050124258244;3.0943431000798025;0.18021245791801407;286.9985411167145;
39.0;-92.875;38.0;-0.37930804301279764;3.352205025086453;0.1802217669256658;287.0085480213165;
39.0;-92.875;38.0;-0.37930804301279764;3.352205025086453;0.18023108237154276;287.01854515075684;
39.0;-92.875;37.0;-0.37930804301279764;3.352205025086453;0.18024064624411026;287.02854919433594;
39.0;-92.875;37.0;-0.37930804301279764;3.352205025086453;0.18024970749109473;287.03882002830505;
39.0;-92.6875;37.0;-0.37854227980348515;3.352205025086453;0.18025901450067655;287.0485510826111;
39.0;-92.6875;37.0;-0.37854227980348515;3.352205025086453;0.18026823615965723;287.0585460662842;
38.0;-92.125;38.0;-0.3665976827351489;3.2662510500842363;0.18027730820532714;287.06857800483704;
38.0;-92.125;38.0;-0.3665976827351489;3.2662510500842363;0.18028650597570292;287.078577041626;
39.0;-92.125;39.0;-0.3762449901755476;3.352205025086453;0.18029580188489644;287.0885829925537;
39.0;-92.125;39.0;-0.3762449901755476;3.352205025086453;0.18030498694390446;287.09856605529785;
38.0;-92.125;38.0;-0.3665976827351489;3.2662510500842363;0.1803140769437409;287.108558177948;
38.0;-92.125;38.0;-0.3665976827351489;3.2662510500842363;0.18032326287939499;287.118577003479;
39.0;-92.125;39.0;-0.3762449901755476;3.352205025086453;0.18033258298743501;287.12857007980347;
39.0;-92.125;39.0;-0.3762449901755476;3.352205025086453;0.18034200279688595;287.13857913017273;
40.0;-92.125;38.0;-0.3858922976159463;3.4381590000886697;0.18035155892195168;287.14856719970703;
40.0;-92.125;38.0;-0.3858922976159463;3.4381590000886697;0.1803613618854986;287.15857315063477;
42.0;-92.125;38.0;-0.40518691249674355;3.6100669500931035;0.18037138481889442;287.1685872077942;
42.0;-92.125;38.0;-0.40518691249674355;3.6100669500931035;0.18038129433763042;287.1785821914673;
41.0;-92.125;36.0;-0.3955396050563449;3.524112975090886;0.1803910844645744;287.18858313560486;
41.0;-92.125;36.0;-0.3955396050563449;3.524112975090886;0.18040088929526354;287.19858407974243;
41.0;-92.125;38.0;-0.3955396050563449;3.524112975090886;0.1804106637848913;287.2086000442505;
41.0;-92.125;38.0;-0.3955396050563449;3.524112975090886;0.18042044924397968;287.21858501434326;
41.0;-92.125;42.0;-0.3955396050563449;3.524112975090886;0.1804302470728854;287.22858119010925;
41.0;-92.125;42.0;-0.3955396050563449;3.524112975090886;0.18044005003643232;287.23859000205994;
41.0;-92.125;37.0;-0.3955396050563449;3.524112975090886;0.18044981682409833;287.24860405921936;
41.0;-92.125;37.0;-0.3955396050563449;3.524112975090886;0.18045974618691313;287.258581161499;
42.0;-92.125;38.0;-0.40518691249674355;3.6100669500931035;0.1804697992450551;287.26860213279724;
42.0;-92.125;38.0;-0.40518691249674355;3.6100669500931035;0.18047982313479208;287.2786271572113;
42.0;-92.125;37.0;-0.40518691249674355;3.6100669500931035;0.18048985204532006;287.2886230945587;
42.0;-92.125;37.0;-0.40518691249674355;3.6100669500931035;0.18050021857842813;287.2986240386963;
45.0;-92.125;37.0;-0.43412883481793957;3.8679288750997536;0.1805109692191271;287.3086051940918;
45.0;-92.125;37.0;-0.43412883481793957;3.8679288750997536;0.18052171012563936;287.31861114501953;
45.0;-92.125;38.0;-0.43412883481793957;3.8679288750997536;0.1805324543622681;287.32860803604126;
45.0;-92.125;38.0;-0.43412883481793957;3.8679288750997536;0.18054310277692942;287.3386080265045;
44.0;-92.125;38.0;-0.4244815273775409;3.781974900097537;0.18055361226026903;287.34863018989563;
44.0;-92.125;38.0;-0.4244815273775409;3.781974900097537;0.18056425206216747;287.35863399505615;
45.0;-92.3125;39.0;-0.4350124077517617;3.8679288750997536;0.18057498451530712;287.3686480522156;
45.0;-92.3125;39.0;-0.4350124077517617;3.8679288750997536;0.18058595545602038;287.3786370754242;
45.0;-92.3125;35.0;-0.4350124077517617;3.8679288750997536;0.18059645787495898;287.38884806632996;
